# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 10:49
# Table:              Probe Table 2 
# Time (s)               Top Temperature          Melting Degree           Temperature P(0.5,0.5)   Rayleigh number          Bottom Temperature       Dynamic Viscosity [Pa s]  Nu = 0.006*Ra^(0.3)        Nu=0.385*Ra^(0.233)     Reynolds number
1.066132264529058        0.2585088841767186       0                        0.3605522009510592       0                        0.39775225025604133      1.0E14                   0                        0                        0
1.0701402805611222       0.2578768232526184       0                        0.3594916527823647       0                        0.396535745548074        1.0E14                   0                        0                        0
1.0741482965931863       0.2572474324740618       0                        0.35843556733474286      0                        0.39532434353081447      1.0E14                   0                        0                        0
1.0781563126252505       0.2566206960752134       0                        0.35738391942258496      0                        0.3941180164897844       1.0E14                   0                        0                        0
1.0821643286573146       0.2559966017372884       0                        0.35633668928014367      0                        0.39291674259023246      1.0E14                   0                        0                        0
1.0861723446893787       0.2553751421154085       0                        0.35529386511511346      0                        0.39172050879841613      1.0E14                   0                        0                        0
1.0901803607214429       0.25475630111289427      0                        0.35425542104526486      0                        0.3905292864698249       1.0E14                   0                        0                        0
1.094188376753507        0.25414006856830296      0                        0.35322134066670585      0                        0.38934305738699426      1.0E14                   0                        0                        0
1.0981963927855711       0.2535264360007042       0                        0.35219161029340396      0                        0.3881618063555754       1.0E14                   0                        0                        0
1.1022044088176353       0.2529153870611402       0                        0.3511662034882676       0                        0.38698550397280984      1.0E14                   0                        0                        0
1.1062124248496994       0.2523069135078102       0                        0.3501451068750634       0                        0.38581413531503195      1.0E14                   0                        0                        0
1.1102204408817635       0.2517010058396269       0                        0.34912830504900394      0                        0.3846476832099339       1.0E14                   0                        0                        0
1.1142284569138277       0.2510976475303953       0                        0.34811577115468006      0                        0.38348611766296337      1.0E14                   0                        0                        0
1.1182364729458918       0.25049683203675327      0                        0.3471074945224347       0                        0.3823294267223276       1.0E14                   0                        0                        0
1.122244488977956        0.2498985489458383       0                        0.3461034581971136       0                        0.3811775914184312       1.0E14                   0                        0                        0
1.12625250501002         0.249302781626152        0                        0.3451036350365239       0                        0.38003058132582535      1.0E14                   0                        0                        0
1.130260521042084        0.24870952502581684      0                        0.34410801676888586      0                        0.378888387146197        1.0E14                   0                        0                        0
1.134268537074148        0.2481187679221252       0                        0.3431165850508378       0                        0.3777509882904475       1.0E14                   0                        0                        0
1.1382765531062122       0.24753049364741947      0                        0.3421293125801069       0                        0.3766183540574515       1.0E14                   0                        0                        0
1.1422845691382764       0.2469446984467711       0                        0.3411461931858387       0                        0.37549047748904485      1.0E14                   0                        0                        0
1.1462925851703405       0.2463613699454948       0                        0.34016720657245264      0                        0.3743673357389936       1.0E14                   0                        0                        0
1.1503006012024046       0.245780492821764        0                        0.3391923275603794       0                        0.3732489004155082       1.0E14                   0                        0                        0
1.1543086172344688       0.24520206311859372      0                        0.3382215496331807       0                        0.37213516415795955      1.0E14                   0                        0                        0
1.158316633266533        0.24462606754990815      0                        0.33725485093324103      0                        0.371026102298025        1.0E14                   0                        0                        0
1.162324649298597        0.24405249307183852      0                        0.3362922099631541       0                        0.3699216905377698       1.0E14                   0                        0                        0
1.1663326653306612       0.2434813344835401       0                        0.33533361814389084      0                        0.36882191917338747      1.0E14                   0                        0                        0
1.1703406813627253       0.2429125780548685       0                        0.33437905282617364      0                        0.3677267625853693       1.0E14                   0                        0                        0
